Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"The annual refit conference scheduled for this year will determine the schedule for ships and submarines' reffitting. The yard has two active dry docks, with up to 3 vessels being subjected to the process at any given time. MoM must focus on the vessels and be released within a week. Make sure that repair workshops are fully operational and have more than 80% manpower during the repit. Spares should be delivered two months before the refits start.",Maintenance,Not Applicable,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"At the beginning of the cruising phase, it is necessary to have at least 2 AC plants operational for the next 20 hours. To meet load balancing demands, 1 AC plant from the bow and 1AC plantfrom the back are required. The most reliable combination to achieve this goal with not more than 7/18 risk score must be achieved first. If more then (a few) AC Plants satisfy these conditions, priority is given to balance their operating hours when they are installed.",Mission,Fleet,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"In anticipation of the impending mission, a comprehensive evaluation of ship ABC is required. The primary emphasis is on assessing its gun capabilities, which involves considerations of capacity, reliability (with a target reliability of 0.9), and specific features such as range, consistency, and accuracy. To evaluate the current operational status of the guns, parameters P1, P2, and P3 at the ship level will be employed. It is crucial to maintain a strict standard to ensure that the risk score for the mission remains below 11 out of 25, taking into account parameters P4 and P5.",Mission,Humanitarian,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Applicable
"It is a requirement to intercept an enemy vessel about 200 miles southwest of Visakhapatnam, potentially using electronic warfare (EW) systems if the vessel attempts to disrupt communication. The task requires approximately 72 hours and deployment of another suitable ship within 18 hours. This involves operating at maximum speed of 23 knots and maintaining operations for at least 9 days with the assistance of air reconnaissance units.",Mission,Combat,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"For the upcoming mission, ship XYZ requires evaluation. This entails assessing the efficiency and effectiveness of its MGRS firing capabilities. The target reliability is set at 0.9. Additionally, factors such as range, consistency, and accuracy are critical for evaluation. The current status of the MGRS can be assessed at the ship level using parameters P1, P2, and P3. The mission's risk score should not exceed 11 out of 25, with parameters P4 and P5 used for risk assessment.",Mission,Fleet,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Applicable
"Key criteria for evaluating this mission include: ship INS Tabar's (N/A) Naval gun with an estimated AK-100 ""response"" target of 0.90 relative reliability; range (21 km); consistency and accuracy parameters; the gun status parameters are: Gun System Health [GSH], Precision Consistency(PC&Er)[Firing Efficiency] Finally, the risk score must below 11[/math] with emphasis on that mission having a risk Score of >11/25. The mission will be evaluated by Mission Complexity (LSLA).",Mission,Exercise,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Applicable
"During the annual maintenance period, the ship has been ordered to sail. The workshop has also been instructed to complete the maintenance tasks and ensure the vessel is seaworthy within 48 hours of notification. To comply with the newly established timelines, only high-quality work must be performed by the workshop in excess of 10%.",Maintenance,Not Applicable,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The Indian Navy is currently engaged in an operation to intercept and question an enemy vessel that is 200 miles northeast of Port Blair, Andaman Islands. This action requires a suitable ship to be deployed within the next 12 hours, with provisions available, fuel available for consumption, and desalination facilities at each location.",Mission,Support,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Ship INS Sumedha must undergo testing with its 76mm naval gun, the target reliability being 0.94 and criteria given include range (15 km), accuracy and firing rate and other parameters such as Gun status using Readiness Status (RS), Accuracy Rate(AR) and Operational Effectiveness’ ‘External Facility’ or Operative Cost Index (OE)” and the mission risk score cannot be more than 9/25, depending on parameters including Environmental Factors (EF) + Crew Skill Level (CSL).",Mission,Support,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Applicable
"Annual refits for ships and submarines are being planned across the fleet with at least three vessels having a second dry dock which will be opened in one week with MoM to give priority to the vessel While refitting, it is important that over 80% of their manpower remain at all times during refitting and that spare parts should be purchased two months before the start of the reffit process.",Maintenance,Not Applicable,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"A test run is required for INS Brahmaputra's 100 mm naval gun, with a target reliability of 0.90. The criteria include range (21 km), firing consistency and accuracy. It must be assessed in terms of range (13.1 mi) or range (93.3 mi); Operational Precision (70.3 mi; MA) And the mission risk score should not exceed 11/25, determined by parameters - Equipment Wear (EW) and Crew Readiness Level (CRL).",Mission,Humanitarian,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Applicable
"The mission demands an evaluation of the 40 mm naval gun on Ship INS Magar, with a reliability target of 0.91 and various parameters such as range, firing precision, and rate of fire. The gun's status can be assessed using Functional Efficiency (FE), Calibration Consistency (CC), and Fire Control Metrics (FCM), while the mission risk score must not exceed 10/25 or more. Its overall rating is based on two factors: operational risk and supply chain stability.",Mission,Fleet,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Applicable
"Satellite imagery shows that there is a vessel detected to the west of Diu, approximately 160 miles away. It requires interception and potential hostile activity necesssant SSM'S. The mission must be finished within 42 hours or 18 hours with whichever ship is selected sent out after the battle has ended (provisioners, fuel, desalination systems). The chosen ship should have cruising speed of 25 knots and an endurance of at least 9 days.",Mission,Combat,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"The ship has been ordered to sail amidst ongoing annual maintenance activities. The workshop has now been assigned to finalize maintenance operations and ensure the ship is seaworthy within 72 hours of notification. To comply with the new timelines, the workshop's work quality must not vary by more than 7%.",Maintenance,Not Applicable,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"An annual maintenance period was required for the ship to embark while various equipment routines were being carried out. The workshop has been instructed to complete the maintenance tasks and make it seaworthy within 48 hours of notification. To meet the new timelines, the workshop must maintain a minimum work quality deviation of 10% or more.",Maintenance,Not Applicable,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"While in operation, INS Kochi has carried out thorough condition-based inspections of shock mounts for multiple pumps and gas turbines. Some shock mounting readings are steadily approaching the warning threshold, and the ship is set to sail within 39 hours and for an operational duration of 10 days. These shockmounts require replacement to maintain mission reliability at 0.94.",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"While in service, INS Kochi has also carried out condition-based inspections of shock mount (most for various pumps and gas turbines) which come at dangerous levels near the warning threshold, some readings are below and others will be elevated. The ship is expected to sail within 45 hours and its operational duration is 6 days; replacing these required shockmounts would help maintain mission reliability at 0.95.",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"The vessel has been given an annual maintenance period and is ready to sail. The workshop has received orders to finish maintenance work and confirm the ship's seaworthiness within 36 hours of notification. To meet the new timelines, the workshop' s work must not vary by more than 12%.",Maintenance,Not Applicable,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"A hostile vessel located 200 miles south of Visakhapatnam has been detected by satellite surveillance. Immediate interception and interrogation may be required, potentially requiring SSM intervention in the event of combat situations. The mission must be completed within 48 hours, necessitating the deployment of a suitable ship within the next 12 hours. This vessel must maintain cruising at opportune times of 25 knots and have an endurance period of at least 8 days (rations/fuel/desalination) Joint operations with other patrol units could be advantageous.",Mission,Humanitarian,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"To proceed to the cruising stage, only 2 communication systems must be operational within 20 hours. One communication system from the fore and one fromthe aft should remain in service, with balance as the primary priority; the reliability of this mission is 0.9 at best, but the risk score should not exceed 7/18.",Mission,Fleet,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"Following the release of surveillance images, it has been discovered that an enemy vessel is situated 180 miles southwards from Porbandar. The Indian Navy must intercept and question the vessel, possibly with torpedoed impact if there is hostile intent. This mission must be completed within 48 hours, with deployment required within 12 hours. Successful operations require at least 8 days supply chain operation, including provisions, fuel, and desalination capabilities, as well as careful navigation of any unoccupied vessel in the area.",Mission,Humanitarian,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"The cruising phase of the mission necessitates that only 2 medical facilities are required to be operational for the next 20 hours. Load balancing guidelines dictate that 1 medical facility from the bow and 1 doctor fromthe stern should remain active. The best combination is chosen to ensure an accuracy level of 90.9 and not exceed 7/18 risk score. If there are multiple suitable medical institutions, priority is given to balanced operating hours as per flight guidance.",Mission,Support,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"The annual refit conference specifies the scheduling for the reffitting of all vessels and submarine fleets in command. The yard has two active dry docks, which means it can only refits three vessels at a time. MoM are to be given priority and released within ten days. Repair workshops must be fully operational with at least 80% manpower strength during the process. Spares must arrive two months before the start of the project.",Maintenance,Not Applicable,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To maintain mission reliability at 0.91, the ship's condition-based inspections of shock mounts for pumps and gas turbines during its operational cycle have been carried out by INS Viraat. Many readings are dangerously close to exceeding this warning threshold due to high levels in the shock system over the past 24 hours and for an operational duration of 7 days.",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"During the 20-hour period before ""cruising,"" only two fire control systems must be activated. In accordance with load management guidelines, it is sufficient to have 1 fire controller from the front and one firecontrol system from behind. The most reliable combination for this type of system is determined to be around 0.9 and not more than 7/18 in terms of risk score. If there are several fire controls systems, attempts are made to keep their operating durations even when multiple units are present.",Mission,Support,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"Condition-based inspections have been carried out by INS Kolkata for various pumps and gas turbine components while she is in service. Some readings from the shock mount are close to warning, with the ship set to sail in 40 hours and operate for 6 days. These tests are essential to maintain mission reliability at 0.89.",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Thorough planning for both ships and submarines is necessary at the yearly refit conference, with only two active dry dock areas. To prioritize refits to three vessels, MoMs must be issued within a week. It is essential to maintain workforce of at least 80% in repair workshops during refITS, and it's crucial to acquire and have available all necessary spare parts for equipment overhauls at minimum two months before the reffit begins.",Maintenance,Not Applicable,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Only 2 missile launchers are required for the next 20 hours before reaching the cruising phase of the mission. To ensure optimal load balancing, 1 forward section and one aft section should be active. The most suitable combination is chosen to meet an accuracy of only 99% while the risk score is less than 7/18 when there are many suitable missile launchesers available.",Mission,Combat,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"INS Sujata's 30mm gun requires evaluation of its reliability target of 0.93, with important criteria including range (10 km), accuracy, and firing consistency. Gun status will be assessed using parameters such as Readiness Index (RI), Maintenance Consistency (MC), and Operational Capacity (OC). The risk score must not fall below 12/25, according to the risks assessed by the mission through Risk Environment(RE) and Equipment Condition [EC].",Mission,Sortie,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Applicable
"Conditions-based inspections of shock mounts for pumps and gas turbine are underway at INS Chennai while she is operational, with several readings nearing the warning threshold. The ship will sail within 20 hours and for an operational duration of 12 days. These tests are necessary to maintain mission reliability at 0.94.",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"While in the midst of her operational cycle, INS Vikrant has conducted comprehensive condition-based inspections on various pumps and gas turbines. Many shock mount readings are close to the warning threshold, with an expected departure time frame of 33 hours or 11 days before the ship is ready to begin its journey. The mission will require replacement of these shock mounted instruments to ensure safety and reliability at a minimum of 0.86.",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"In order for maneuverability to be sustained over the next 20 hours of the cruising phase, only 2 propulsion systems must be operational. To ensure stability, it's necessary to activate one from each side and another from the other at both ends to achieve a reliability rating of around 90.9 with minimum risk score of 7/18 on average.",Mission,Sortie,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"With a cruise phase stage only, only 2 anti-aircraft defense systems are required to be in service for the next 20 hours as aerial threats become more prevalent. To remain ready and maintain reliability rating, one system from the front and another from behind must be activated with no risk score exceeding 7/18 and rated reliability at 0.9.",Mission,Support,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"The existence of an enemy vessel located 220 miles northwest of Lakshadweep has been confirmed by intelligence sources. It must be intercepted and interrogated, with SSM engagement on standby in case of conflict; the mission should be finished within 50 hours, and a suitable ship deployed to follow within the next 14 hours. The vessel must reach speeds of 26 knots, operate for 9 days (excluding provisions, fuel), and water desalination, while weather conditions may cause rough waves.",Mission,Exercise,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"At this point, we are moving towards the cruise phase and it is only essential that 2 ballast control systems are available to maintain stability for approximately 20 hours during operation. By activating one system from behind (the bow) and one from around her stern (both in sequence), stability will be maintained while meeting the reliability test criteria of 0.9, which is considered reliable with a risk score below 7/18.",Mission,Humanitarian,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"Transitioning into the cruising phase of the mission, only 2 communication systems need to be active for the next 20 hours. As per load balancing guidelines, 1 communication system from the bow and 1 communication system from the stern should remain operational. The most suitable combination is selected to ensure a reliability of 0.9 and a risk score not exceeding 7/18. If there are multiple suitable communication systems, priority is given to balanced operating hours.",Mission,Humanitarian,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"As the mission progresses to the cruising phase, only 2 navigation systems are required to be operational for the next 20 hours. Load management guidelines dictate that 1 navigation system from the front and 1 communication systemfrom the back should remain active. The optimal combination is determined to have a reliability of 0.9 and fewer than 7/18 risk scores. If there are more than one navigation système, attempts are made to balance their operating times.",Mission,Humanitarian,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"There is an enemy vessel 220 miles northwest of Lakshadweep that intelligence sources claim to be stationed aboard. The objective must be interceptet and interrogated, with SSM on standby in the event of hostilities.The mission should be finished within 50 hours, after which a suitable ship will be deployed in 14 hours. It must reach speeds of 26 knots and operate for 9 days (excluding provisions, fuel, and water desalination). Weather forecasters predict potential stormy conditions, making preparation for rough seas.",Mission,Sortie,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Upon reaching the cruising stage, the mission requires only 2 water desalination plants to be operational over the next 20 hours to maintain fresh water supply. One desalion plant from the front and one from nearby are required to remain active, guaranteeing equal distribution and meeting the reliability target of fixed at 95% with below-average risk score (7/17).",Mission,Humanitarian,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"In its yearly refit conferences (at the command's request, for example) the repairs to ships and submarines will be scheduled: The crew must also use two working dry docks while no more than three vessels may be refited at any given time; MoM must be issued within one week with each vessel prioritized by the commander/main teams; repair workshops need to be fully staffed with at least 80% manpower during this period and spare parts should arrive two months before they start work on the refits.",Maintenance,Not Applicable,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Satellite images depict an adversary ship at location K, situated 300 miles northwest of our base. Intercepting and interrogating the ship is imperative. Engagement with SSMs might be necessary in the event of hostility. The mission must be completed within the next 48 hours. Deployment of a suitable ship by the fleet is required within the next 24 hours. The ship must maintain a speed of 25 knots, with operational propulsion and PGD systems, and an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,Humanitarian,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"This comes as the ship has been ordered to sail during an annual maintenance period that saw a number of equipment routine maintenance routines being in progress.The workshop has now been given responsibility for fulfilling these maintenance assignments and making sure the vessel is seaworthy within 48 hours of notice.To meet new timelines, the workshop must make certain that the quality of work does not exceed 10%.",Maintenance,Not Applicable,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"At the annual conference for naval vessel preparations, the fleet is preparing to go ahead with the refit. The shipyard has two dry dock facilities; therefore it is possible to have at least three ships or submarines in the yard at any given time and not more than three at one time: When MoM must be priority work must end within a week as should all repair workshops operate with at most 80 per cent manpower during the period when refits are scheduled but Spares needed for equipment overhauls should be bought two months before the project start.",Maintenance,Not Applicable,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"An enemy vessel has been detected by satellite approximately 150 miles northeast of Kanyakumari. The vessel necessitates interceptions and questioning. If hostile action arises, SSMs may be deployed. A suitable vessel must be launched within the next 10 hours.The chosen ship should have a speed of 26 knots and an endurance of at least 6 days (provisions/fuel/desalination plant).",Mission,Sortie,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"To proceed with the cruising phase of the mission, only 2 radars are required to be operational within 20 hours. The load balancing procedures require 1 radar from the fore and 1 Radar fromthe aft to remain active. A combination that has 0.9 reliability and preferably fewer than 7/18 and allows balanced operating durations is preferred. If more than one radar system is present, please ensure they meet all requirements.",Mission,Sortie,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"An enemy vessel was located 150 miles southwest of Chennai and requires intercept and interrogation. The mission must be finished within the next 36 hours, which may involve a potential SSM strike if necessary. A suitable ship must then be deployed within 10 hours. It should sustain cruising speed of 23 knots and have an endurance of at least 9 days (provisions, fuel level, desalination time). Coordination with aerial surveillance units will enhance effectiveness.",Mission,Exercise,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"INS Kolkata, which is currently in the process of operating, has conducted condition-based inspections of shock mounts for multiple pumps and gas turbines. Some shock mounting readings are approaching the warning threshold at times. The ship is scheduled to sail within 55 hours for an operational duration of 4 days. These tests are essential to maintain mission reliability at 0.88.",Maintenance,Not Applicable,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"While the ship is still in an annual maintenance phase that continues behind closed doors, it has now been ordered to sail. Maintenance work has been completed and the workshop has received a certificate of sea suitability within two days from the owner. In order to comply with the new schedules, the minimum quality of work required should not exceed 16%.",Maintenance,Not Applicable,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"For maximum effectiveness during the cruising phase of this mission, only 2 power generators must be operational within 20 hours; following the principle of load distribution, 1 power supply from the fore and 1 feed supplyfrom the other are required to stay running; the chosen combination will meet an ISO 99.5 reliability level while the risk score is below 7/18 (multiple ACCEPTANCE is considered priority) when more than one power source has been installed.",Mission,Exercise,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"In order to evaluate the AK-100 naval gun on board ship INS Tabar, an evaluation of its reliability target is required. The objective criteria include range (21 km), consistency and accuracy, and Gun status will be determined using parameters like Gun System Health (GSH), Precision Consistency (PC), and Firing Efficiency (FE). The risk score must be below 11/25, evaluated using metrics such as Mission Complexity (MC) and Logistic Support Availability (LSA).",Mission,Humanitarian,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Applicable
"Moving forward, load balancing necessitates the use of only 2 fire control systems for the next 20 hours. To achieve a reliability of 9/8 with fewer than 7/18 risk score, one front and one rear fire controller must remain active.",Mission,Humanitarian,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"The evaluation of the ship INS Teg's 100 mm A-190 naval gun is crucial for the mission, as its target reliability is 0.94. Important factors include range (20 km), consistency, and accuracy, while the gun'S operating status can be evaluated using parameters like Readiness Level (RL), Precision Rate(PR), or Operational Status (OS). The risk score must not exceed 11/25, determined by Safety Index (SI) and Tactical Preparedness (TP).",Mission,Combat,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Applicable
"To perform the mission, it is necessary to evaluate the 76 mm Super Rapid gun mount of ship INS Shivalik. The target reliability is 0.94, and criteria include operational range, stability, precision; and Gun status can be assessed using parameters such as Readiness Index (RI), Operational Consistency (OC), or Maintenance Efficiency (ME). The maximum mission risk score would be 9/25, determined using Threat Level Assessment (TLA) and Supply Chain Reliability (SCR).",Mission,Exercise,Ship,Evaluate,Ship,Fleet,Immediate,Sea,Missile firing,Minimum risk,"Reliability,Risk score",Not Applicable
