Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"The annual refit for ships and submarines is being planned by the fleet. Although there are two dry docks, only three vessels can be refited simultaneously. MoMs will be issued within a week to prioritize the vessels. It is imperative that repair workshops maintain over 80% of their manpower during refits. Spare parts for equipment overhaul should be obtained two months before the reffitting process begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Two dry docks are designated for ships and submarines, but only three can be refitted simultaneously. The majority of the fleet will receive priority-setting MoMs during the annual refits. It is essential that repair workshops maintain over 80% of their manpower during reffitting, and spare parts should be purchased two months ahead of time.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Both ships and submarines will have an annual refit. The fleet has access to two dry docks, but only three vessels can be refited simultaneously. MoMs are issued within a week to prioritize the vessel's focus. It is imperative that repair workshops maintain over 80% of their manpower during refits. Spare parts for equipment overhaul should be obtained two months before the reffitting process begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"It is planned that the fleet will have two dry docks available for ships and submarines, but only three can be refitted at once. MoMs will be issued within a week to give priority to the vessels. It has been also recommended by some sources that repair workshops should retain more than 80% of their manpower during refits, and that spare parts for equipment overhaul should be obtained two months before the reffitting process starts.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Every year, the fleet is organizing the annual refit for ships and submarines. Although there are two dry docks, only three vessels can be refited simultaneously; MoM's will be issued within a week to give priority to the ships; it is imperative that repair workshops maintain over 80% their manpower during refits[citation needed] and that spare parts for equipment overhaul should be purchased two months before the start of the reffitting process.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Ayearly maintenance plans are in place for the fleet's ships and submarine refits. Although there are two dry docks, only three vessels can be refitted at once. MoMs will be issued within a week to emphasize that these vessels require prior planning consent. It is essential that repair workshops maintain over 80% of their manpower during reffitting. Spare parts for equipment overhaul should be obtained two months before the reftitiling begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Each year the fleet is planning for its own annual refit of ships and submarines with two dry docks available but a maximum of three at reit, or ""conduct"" must be undertaken in one week (one hour per semaine) MoMs will be issued to focus the attention of the vessels; it is imperative that repair workshops maintain over 80% their manpower during such reainings, and spare parts for overhaul of equipment should be purchased two months before the refits start.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"There are two dry docks available, but only three can be refitted at once. The annual reffit for ships and submarines is being planned by the fleet with over 80 percent manpower maintained during each process. Spare parts should be purchased two months in advance of the refits to ensure equipment overhauls are completed efficiently before completing the work begins. MoMs will also be issued within a week to prioritize the vessels.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"They plan their annual refit of vessels and submarines with at least two dry dock being available, but only three can be refited simultaneously within the fleet timeframe – MoM (minimum orders of maintenance) will be issued within a week to give priority to the ships; it is imperative that repair workshops maintain over 80 per cent of their manpower during the refits, and that spare parts should be bought two months in advance for purchase of new equipment.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Annual refits for ships and submarines are being planned across the fleet with at least three vessels having a second dry dock which will be opened in one week with MoM to give priority to the vessel While refitting, it is important that over 80% of their manpower remain at all times during refitting and that spare parts should be purchased two months before the start of the reffit process.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The yard's annual refit conference necessitates meticulous planning for both ships and submarines. There are only two active dry docks in place, restricting simultaneous refits to three vessels. MoMs, which are essential for prioritizing vessels, must be released within a week. The repair workshops must operate with at least 80% manpower during refITS, while spare parts should be obtained and available two months before the reffit schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"For ships and submarines, careful planning is necessary for the annual refit conference; only two working dry docks exist in the yard with capacity to conduct simultaneous refits of three vessels (MoMs should be released within a week) The repair workshops must operate with at least 80% manpower during refITS and ensure efficiency, while spare parts are needed by overhauled equipment by purchasing and having available stock two months before schedule start.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Preparation for this year’s annual refit conference is demanding of both ships and submarine, with only two working dry docks in the yard meaning only three vessels are being re-called at any one time; instantaneous MoMs must be released within a week while the repair workshops operate with no less than 80% manpower during refits meaning that efficiency is guaranteed also because suppliers need to acquire spare parts needed for equipment overhauls on arrival at least two months before the schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Prior to the annual refit conference, it is important to carefully plan for both ships and submarines. The yard has only two operational dry docked areas, resulting in only three vessels being refits simultaneously. MoMs, which are essential for prioritizing vessels, must be released within a week. Additionally, the repair workshops must operate with at least 80% manpower during refITS, and spare parts should be obtained and available at minimum two months before the refIT schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To ensure efficiency, the yard must plan carefully for both ships and submarines during the annual refit conference. There are only two active dry docks in the facility; simultaneous refits are limited to three vessels (only three MoMs can be released within a week); repair workshops must operate with at least 80% manpower during refITS, and they must be available for at minimum two months before the schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The annual refit conference is a time to plan carefully for ships and submarines, as the yard has only two active dry docks. To ensure efficiency during simultaneous refits, MoMs must be released within 80% of the week that allows the repair workshops to operate with minimum manpower during refITS or else at least two months before the schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"This year’s scheduled annual refit conference demands careful planning for both ships and submarines: only two working dry docks are available in the yard, limiting simultaneous Refits to three vessels; MoMs should be released within a week as the repair workshops must ‘operate with no less than 80 per cent manpower’ At least two months before the schedule begins then maintenance is on.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"In preparation for the upcoming annual refit conference, it is essential to carefully plan for both ships and submarines. The yard has only two active dry docks in place, restricting simultaneous refits to three vessels. MoM's must be released within a week; repair workshops must operate with at least 80% manpower during refITS, and they must also be available for equipment overhauls by two months before the schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Detailed planning is necessary for ships and submarines during the annual refit conference. The yard has only two active dry docks, restricting simultaneous refits to three vessels. MoMs essential for prioritizing vessels must be released within a week. Repair workshops must operate with at least 80% manpower during refITS, guaranteeing efficiency. Furthermore, spare parts required for equipment overhauls should be obtained and available at minimum four months before schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"At the upcoming annual refit conference, it is essential to carefully plan for both ships and submarines. The yard has only two operational dry docked areas that limit simultaneous refits to three vessels. MoMs, necessary for prioritizing vessels, must be released within a week. Additionally, the repair workshops must operate with at least 80% manpower during refITS, and spare parts should be obtained and available at minimum two months before the reffit schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To ensure the successful completion of annual refits for ships and submarines, it is necessary for the fleet to plan their work. With only two dry docks available, no more than three vessels can be refitted simultaneously; instead, an emphasis will be placed on prioritizing MoMs within a week in repair workshops, while also ensuring that at least 80% of the crew are maintained as part of Refitting. Spare parts for equipment overhauls should arrive two months before the start of refITS.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The annual refit of the fleet's ships and submarines must be planned. Only two dry docks are available for three vessels at a time, and MoMs will be allocated to focus on specific vessels. Additionally, repair workshops should maintain at least 80% manpower during refits, with spare parts expected to arrive two months before the start of reffits.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The annual refit for ships and submarines is a challenging task for the fleet. With only two dry docks, no more than three vessels can be refits at once. MoMs will be allocated within ten days to focus on specific vessels, while repair workshops ensure that at least 80% manpower is maintained during reffits. Spare parts for equipment overhauls should arrive two months before the refITS start.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Each year, the fleet must plan for the annual refit of its ships and submarines with at least two dry docks available; no more than three vessels may be refits simultaneously – MoMs will be allocated within a week to focus on most vessels while at minimum 80% of the manpower is maintained in repair workshops during reffitting, and spare parts are expected to arrive 2 months before overhauls start.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"It is a major responsibility of the fleet to plan the annual refit of its ships and submarines, with only two dry docks available; no more than three vessels may be refits simultaneously. Priority will be given to MoMs within 80% of all vessel manpower during reffitting, while at least ensuring that repair workshops maintain at minimum '80%' of man power during each Refits (which means two months should pass before overhauls). Spare parts for overhauling equipment are expected to arrive on Monday morning or Tuesday evening.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"For every ship and submarine in the fleet, an annual refit needs to be planned; there will be no more than three vessels that can undergo the process simultaneously, with only two dry docks available: prioritized MoMs will always be given over priority during each vessel (a.k.a."" Refitting for ships is also mandated within a week of completion at which repair workshops ensure at least 80% of the manpower remains during refits, while spare parts for equipment overhauls should arrive two months before the start of refITS.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"With only two dry docks, the annual refit for ships and submarines must be planned by the fleet. Only three vessels can be refited at once; instead, they will be assigned MoMs to focus on them while repair workshops ensure that at least 80% of the manpower is retained during refits, and that spare parts are to be dispatched in advance of each reffitting period with two months notice before any new equipment overhauls take place.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"This means that each year a compulsory refit must be planned for both ships and submarines of the fleet, with only two dry docks available so no more than three vessels can undergo the same procedure; during refits, MoMs will be allocated all first, but ensure at least 80 per cent manpower are retained in repair workshops. Spare parts for overhauling purposes should arrive two months before repairs begin.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Annual refits of the vessels (ships and submarines) are a significant task for fleet, with only two dry docks available; no more than three vessels may be scheduled to undergo refit at any given time. Priority will be assigned to moments within one week for priority over vessel(s), while at least 80% manpower is maintained during reffitting, as determined by the availability of repair workshops where spare parts should arrive two months before equipment was overhauled.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Refitting ships and submarines within the fleet requires planning permission, as there are only two dry dock facilities available. Only three vessels can be refitted at a time, with MoMs being assigned to prioritize them. Repair workshops ensure that they maintain at least 80% manpower during refits; Spare parts for equipment overhauling should arrive two months before the reftitiling process.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Ayearly maintenance plans are in place for ships and submarines' reffitting. The two dry docks are not enough, so careful coordination is necessary with no more than three vessels undergoing refit at any given time. Priority will be given to MoMs who will focus on particular vessels, while repair workshops must operate with at least 80% manpower during refits. It is recommended to obtain spare parts for equipment overhauls and deliver them within two months before the start of the reftitie.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The yearly refit for ships and submarines is being planned with the help of careful coordination due to the lack of two dry docks. There will be three vessels at one time, with MoMs dispatched immediately to prioritize vessels; repair workshops must operate with at least 80% manpower during refits; supplies will also be purchased and delivered two months before the scheduled reffit starts.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Plans have been drawn up for the annual refit of ships and submarines, with a need for careful coordination due to the lack of two dry docks. There will be three vessels at one time, but MoMs will first be assigned to prioritize vessels. Additionally, repair workshops must operate with at least 80% manpower during refits, and adequate spare parts will also be provided two months before the scheduled reffit start date.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The annual refit for ships and submarines is being planned with the help of careful coordination due to the lack of two dry docks. There will be a maximum of three vessels under refits at any given time, while MoMs will focus on priority over those in charge. Repair workshops must operate with at least 80% manpower during refITS, and adequate spare parts will need to be purchased and delivered two months before the scheduled reffit start date.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Due to the lack of two dry docks, the annual refit for ships and submarines is being planned with careful coordination: up to three vessels are scheduled to be refits simultaneously (MoS will be deployed immediately to focus on each vessel), while repair workshops will need at least 80% manpower during the refITS and adequate spare parts will arrive in time for overhauls to start.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"It is now being planned that for the annual refit of vessels and submarines to be carried out, taking into account the limited space available for two dry docks which requires careful coordination with up to three meanwhile (maximum three) while they are operational; MoMs will be deployed immediately to focus on each vessel; repair workshops must operate with at least 80 per cent manpower during any one part of the year whilst adequate spare parts can be bought and delivered two months before the scheduled start of its refits.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Planning has taken place for the annual refit of ships and submarines, with a focus on maximising the number of vessels being refits. The only issue is the presence of two dry docks; careful coordination will be required due to the maximum number or lack of available facilities (MoMs) being deployed to prioritize vessels while maintaining proper operational Manpower in repair workshops during refITS—ideally this would require at least 80% of the crew on the vessel as well as sufficient spare parts which should be provided two months before the scheduled start date.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Preparation work is being done on annual refits for ships and submarines, with careful coordination required as there are only two dry docks available; up to three vessels may be undergoing the refit at one time; MoM dispatched immediately to focus on them while repair workshops must operate with at least 80% manpower during the process; spare parts will be purchased and delivered within two months before the scheduled reffit starts.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Annual refits for ships and submarines are being planned with the main emphasis on careful co-ordination with limited space at two dry dock which means maximum three vessels will be undergoing refit simultaneously, MoMs dispatched immediately to focus on each vessel, while refITS must operate with at least 80 per cent manpower, and adequate spare parts should be supplied two months before start of scheduled refIT.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Refreshing activities are taking place with the annual refit for ships and submarines. The limited availability of two dry docks neceses careful coordination, with a maximum number of vessels undergoing refits simultaneously. MoMs will be dispatched immediately to prioritize vessels, while repair workshops must operate efficiently using at least 80 percent manpower during refITS. Adequate spare parts for equipment overhauls should be obtained and delivered two months before the scheduled reffit start date.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The annual refit conference necessitates thorough planning for both ships and submarines. Only two operational dry docks are present, restricting simultaneous refits to three vessels. To prioritize effectively, MoMs must be issued within a week. It's essential to maintain 80% of crew in repair workshops during refITS. Additionally, it'll be crucial to acquire and have available all necessary spare parts for equipment overhauls at least two months before the reffit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To prioritize vessels, it is necessary to carefully plan ahead for both ships and submarines during the annual refit conference. Only two fully operational dry docks are available, resulting in three simultaneous refits. To ensure effective priority, MoMs must be issued within a week. It is also crucial to maintain 80% of staff in repair workshops during refITS at least two months before the start of the reffit process. Additionally, all required spare parts should be acquired and accessible for overhauling by manufacturers.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Both ships and submarines require meticulous planning during the yearly refit conference. There are only two operational dry docks, which means that maximum three vessels cannot be refits simultaneously. To prioritize vessels effectively in this process, MoMs must be issued within a week. It is essential to maintain 80% of crew members in repair workshops during refITS, and it's crucial to have all necessary spare parts for equipment overhauls at least two months before the reffit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Regular preparation for ships and submarines is necessary during the yearly refit conference. There are only two operational dry docks, which means that maximum three vessels cannot be refits simultaneously; MoMs must be issued within a week to prioritize them effectively as well as ensure that they have at least 80 per cent of staff working in repair workshops; all spare parts must also be provided by suppliers atleast two months before the start of the reffit process.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To properly plan for the annual refit conference, both ships and submarines must have at least two active dry dock facilities available. Only three vessels can be re-deployed at any given time; to prioritize effectively these vessels, MoMs should be issued within 60 days or more. It is essential to maintain a workforce of at most 80% in repair workshops during refits. Furthermore, it is imperative to acquire and have available all necessary spare parts for equipment overhauls at minimum two months before the reffit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"It is necessary to carefully plan for both ships and submarines at the annual refit conference. Only two fully functional dry dock facilities exist, limiting simultaneous refits to three vessels; to effectively focus on them all, MoMs must be issued within a week. Successfully prioritizing these activities requires maintaining workforce of at least 80% in repair workshops. At minimum, it's crucial to have acquired and have available all necessary spare parts for equipment overhauls by 2 months before the reffit begins (see below).",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Thorough planning for both ships and submarines is necessary at the yearly refit conference, with only two active dry dock areas. To prioritize refits to three vessels, MoMs must be issued within a week. It is essential to maintain workforce of at least 80% in repair workshops during refITS, and it's crucial to acquire and have available all necessary spare parts for equipment overhauls at minimum two months before the reffit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Devoted planning takes place for ships and submarines during the annual refit conference; only two active dry dock are available, so convoys must be issued simultaneously limiting Reits to three each. To ensure effective priority on all vessels, MoMs should be sent out within a week or so, while maintaining workforce of at least 80% in repair workshops during refits is essential (within two months before the start of the reffit process). It's also important to purchase and have accessible all required spare parts for equipment overhauls.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Refinery planning for both vessels and submarines is essential. To prioritize the proper focus on vessels, MoM must be issued within a week. Additionally, it's crucial to maintain 80% of staff in repair workshops during refits. Furthermore, all required spare parts for equipment overhauls should be acquired at least two months before the refit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"At the yearly international refit conference, it is necessary to plan for both ships and submarines at a comprehensive level. This results in only two active dry docks, which means that multiple vessels cannot be refits simultaneously; therefore MoM can only proceed with three such vessels (and effectively does not prioritize them by priority). It is essential to maintain 80% or more workers in repair workshops during refITS, as well as having all required spare parts for equipment overhauling at least two months before the reffit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"In preparation for the upcoming refit conference, the fleet must plan for ships and submarines' maintenance. With only two dry docks open, no more than three vessels can be refited simultaneously. MoMs will be released within a week to prioritize vessels, while repair workshops ensure that at least 80% manpower is maintained during refits. Spare parts for equipment overhauls should arrive two months before the refIT schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"With the annual refit conference just around the corner, the fleet must now make arrangements for ships and submarines maintenance. There will be two dry docks available, so no more than three vessels can be refited at once. MoMs will focus on vessels, while repair workshops ensure that at least 80% manpower is maintained during refits. Spare parts for equipment overhauls should arrive two months before the refIT schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"As the yearly refit conference approaches, the fleet must now make arrangements for ships and submarines. The only vessels allowed to be refited at any given time are two dry docks, which cannot be more than three at a time. MoMs will be released within ten days to focus on vessels, while repair workshops ensure that at least 80% manpower is maintained during refits. Spare parts for equipment overhauls should arrive two months ahead of schedule.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet's maintenance of ships and submarines is a significant challenge as the annual refit conference approaches. With only two dry docks in operation, there are limited vessels that can be refited at any given time; instead, they will be allocated to three or more vessels. MoMs will focus on vessels, while repair workshops ensure that at least 80% manpower is maintained during refits, and it is expected that parts for equipment overhauls would arrive two months ahead of schedule.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"As annual refit conferences approach, the fleet must now plan for ships and submarines maintenance. With only two dry docks open, no more than three vessels can be refits simultaneously; MoMs will focus on which vessels to prioritize; repair workshops ensure that at least 80% of manpower is maintained during refites—two months before schedule begins (source: Eurorail project) Spare parts for overhauls should arrive two months after scheduled time.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
