Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"The fleet is organizing the annual refit conference to plan the refit of naval vessels. The shipyard has two dry docks in operation, allowing no more than three ships or submarines to undergo refit concurrently. MoM must be prioritized and finalized within a week. Ensure that repair workshops operate with at least 80% manpower during the refit. Spares needed for equipment overhauls should be procured two months before the refit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"During the annual refit conference, the fleet will schedule the refit of ships and submarines. The yard has two operational dry docks, with a maximum of three vessels allowed for refit at one time. The MoM should be prepared and released within a week, prioritizing the vessels. Repair workshops need to be fully functional with over 80% manpower during refit periods. Spares for overhauls must arrive two months before the refit starts.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The command must plan for the annual refit conference, organizing the refit of all naval vessels. With two dry docks operational, no more than three ships or submarines can be refitted simultaneously. MoM should be finalized within a week, prioritizing the vessels accordingly. During the refit, repair workshops must maintain more than 80% manpower. Spares for overhaul should be delivered two months in advance of the refit.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"In the upcoming annual refit conference, the fleet will plan the refit of all ships and submarines. The shipyard has two operational dry docks, with a capacity limit of three vessels at any one time. MoM must be prioritized and issued within a week. Ensure that repair workshops are fully operational with at least 80% manpower throughout the refit. Required spares should be delivered two months before the refit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The ship has been ordered to sail during the annual maintenance period wherein maintenance routines were being undertaken on various equipment. The workshop has been directed to finish the maintenance task and make the ship seaworthy within 48 hours of notice. In order to stick to the new promulgated timelines, the quality of work done by the workshop must not deviate more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance period, the ship has received orders to sail. Various equipment maintenance routines were ongoing at the time. The workshop has been given a directive to complete the maintenance tasks and ensure the ship is seaworthy within 48 hours of notice. Adherence to the newly established timelines requires that the quality of work performed by the workshop does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst the annual maintenance period, the ship has been instructed to set sail. Maintenance routines for various equipment were in progress. The workshop has been directed to conclude the maintenance tasks and guarantee the ship's seaworthiness within 48 hours of notice. To meet the new timelines, the workshop must ensure that the quality of work does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been mandated to sail during the annual maintenance period, during which maintenance routines for various equipment were being executed. The workshop has been tasked with completing the maintenance assignments and ensuring the ship is seaworthy within 48 hours of notice. To adhere to the newly established timelines, the quality of work performed by the workshop must not deviate more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"While undergoing annual maintenance, the ship has been given orders to sail. Maintenance routines for various equipment were ongoing during this period. The workshop has been directed to finalize the maintenance tasks and guarantee the ship's seaworthiness within 48 hours of notice. Compliance with the newly enforced timelines necessitates that the workshop's work quality does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been instructed to sail amidst the annual maintenance period, during which maintenance routines for various equipment were in progress. The workshop has been given the task of completing the maintenance assignments and ensuring the ship is seaworthy within 48 hours of notice. To meet the new timelines, the workshop must ensure that the quality of work does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst the annual maintenance period, orders have been issued for the ship to sail. Maintenance routines for various equipment were underway at the time. The workshop has been tasked with completing the maintenance tasks and ensuring the ship's seaworthiness within 48 hours of notice. Adhering to the newly introduced timelines requires that the quality of work performed by the workshop maintains a deviation of no more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been mandated to sail during the annual maintenance period, amidst ongoing maintenance routines for various equipment. The workshop has received instructions to finalize the maintenance tasks and ensure the ship's seaworthiness within 48 hours of notice. To comply with the newly implemented timelines, the workshop must ensure that the quality of work performed does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance period, the ship has been ordered to set sail while various equipment maintenance routines were being carried out. The workshop has been directed to complete the maintenance tasks and ensure the ship is seaworthy within 48 hours of notice. To meet the new timelines, the workshop must maintain a work quality deviation of no more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been directed to sail during the annual maintenance period, amidst ongoing maintenance routines for various equipment. The workshop has been instructed to complete the maintenance tasks and ensure the ship's seaworthiness within 48 hours of notice. Adhering to the newly established timelines requires that the quality of work performed by the workshop does not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been tasked to sail amidst the annual maintenance period, while various equipment undergoes maintenance routines. The workshop has been instructed to complete maintenance tasks and ensure the ship's seaworthiness within 48 hours of notice. To adhere to the new promulgated timelines, the quality of work done by the workshop must not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance period, the vessel has been ordered to set sail. The workshop has received directives to finalize maintenance tasks and certify the ship's seaworthiness within 36 hours of notice. In order to adhere to the newly established timelines, the workshop's work quality must not deviate by more than 12%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst the annual maintenance phase, the ship has been instructed to commence sailing. The workshop has been mandated to expedite maintenance operations and certify the ship as seaworthy within 72 hours of notification. To meet the updated deadlines, the workshop's work quality should not deviate by more than 8%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Despite the ongoing annual maintenance procedures, the ship has been commanded to sail. The workshop has been tasked with completing maintenance duties and ensuring the ship's readiness for sea within 24 hours of notice. Maintaining the new timelines, the workshop's work quality must not deviate by more than 20%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"In the midst of annual maintenance activities, the ship has been directed to proceed with its voyage. The workshop has been given the task to complete maintenance assignments and ensure the ship's readiness for sea within 60 hours of notification. Adhering to the revised schedules, the workshop's work quality should not deviate by more than 5%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Despite the ongoing annual maintenance period, the ship has been ordered to sail. The workshop has been entrusted with finalizing maintenance duties and certifying the ship's seaworthiness within 30 hours of notice. To comply with the updated timelines, the workshop's work quality must not deviate by more than 18%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst ongoing annual maintenance procedures, the ship has received orders to sail. The workshop has been instructed to expedite maintenance tasks and ensure the ship's readiness for sea within 48 hours of notice. To meet the newly established deadlines, the workshop's work quality should not deviate by more than 13%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst ongoing annual maintenance tasks, the ship has been directed to set sail. The workshop has been tasked with finalizing maintenance operations and ensuring the ship's seaworthiness within 72 hours of notification. To maintain the new timelines, the workshop's work quality must not deviate by more than 7%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Despite the ongoing annual maintenance phase, the ship has been commanded to sail. The workshop has been mandated to complete maintenance assignments and certify the ship's seaworthiness within 48 hours of notice. To adhere to the revised schedules, the workshop's work quality should not deviate by more than 16%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"In the midst of annual maintenance activities, the ship has been directed to proceed with its voyage. The workshop has been given the task to expedite maintenance assignments and ensure the ship's readiness for sea within 48 hours of notification. Adhering to the updated timelines, the workshop's work quality must not deviate by more than 9%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship has been given orders to sail during the annual maintenance period, while various equipment undergoes routine maintenance. The workshop has been directed to complete maintenance tasks and ensure the ship's seaworthiness within 48 hours of notice. To adhere to the newly promulgated timelines, the workshop's work quality must not deviate by more than 10%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst the annual maintenance period, the vessel has been instructed to set sail. The workshop has received directives to finalize maintenance tasks and certify the ship's seaworthiness within 48 hours of notice. To comply with the updated schedules, the workshop's work quality must not deviate by more than 12%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"During the annual maintenance phase, the ship has been mandated to commence sailing. The workshop has been tasked with expediting maintenance operations and certifying the ship as seaworthy within 48 hours of notification. To meet the revised deadlines, the workshop's work quality should not deviate by more than 8%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Despite the ongoing annual maintenance procedures, the ship has been commanded to sail. The workshop has been tasked with completing maintenance duties and ensuring the ship's readiness for sea within 24 hours of notice. To maintain the new timelines, the workshop's work quality must not deviate by more than 20%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"In the midst of annual maintenance activities, the ship has been directed to proceed with its voyage. The workshop has been given the task to complete maintenance assignments and ensure the ship's readiness for sea within 60 hours of notification. Adhering to the updated schedules, the workshop's work quality should not deviate by more than 5%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Despite having the ongoing annual maintenance period, the ship has been ordered to sail. The workshop has been entrusted with finalizing maintenance duties and certifying the ship's seaworthiness within 28 hours of notice. To adhere to the new timelines, the workshop's work quality must not deviate by more than 19%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"The ship is to sail in the midst of yearly maintenance operations that are currently underway. The workshop is to expedite repair tasks and guarantee that the ship is seaworthy within 48 hours of notification. To meet the newly established deadlines, the workshop's work quality should not deviate by more than 13%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"Amidst ongoing annual maintenance tasks, the ship has been directed to set sail. The workshop has been tasked with finalizing maintenance operations and ensuring the ship's seaworthiness within 72 hours of notification. To adhere to the new timelines, the workshop's work quality must not deviate by more than 7%.",Maintenance,,Ship,Evaluate,Workshop,Fleet,48 hours,Workshop,Maintenance scheduling,Minimum time,"Reliability,Conformance ",Activity sequence
"INS Vikrant, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold. The ship is slated to sail within 36 hours and for an operational duration of 10 days. Replacement of these shock mounts is imperative to maintain mission reliability at 0.92.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Delhi, during her operational cycle, has carried out condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 72 hours and for an operational duration of 5 days. Replacing these shock mounts is essential to uphold mission reliability at 0.88.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Vikramaditya, during her operational cycle, has undertaken condition-based inspections of shock mounts for various pumps and gas turbines. Certain shock mount readings are approaching the warning threshold. The ship is set to sail within 24 hours and for an operational duration of 8 days. Replacement of these shock mounts is critical to maintain mission reliability at 0.91.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Kolkata, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. A number of shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 40 hours and for an operational duration of 6 days. Replacing these shock mounts is necessary to uphold mission reliability at 0.89.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Shivalik, during her operational cycle, has carried out condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold. The ship is slated to sail within 60 hours and for an operational duration of 4 days. Replacement of these shock mounts is imperative to maintain mission reliability at 0.87.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Vikrant, during her operational cycle, has undertaken condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 30 hours and for an operational duration of 9 days. Replacing these shock mounts is essential to uphold mission reliability at 0.93.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Mumbai, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. Certain shock mount readings are approaching the warning threshold. The ship is set to sail within 56 hours and for an operational duration of 3 days. Replacement of these shock mounts is critical to maintain mission reliability at 0.90.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Chennai, during her operational cycle, has carried out condition-based inspections of shock mounts for various pumps and gas turbines. A number of shock mount readings are nearing the warning threshold. The ship is scheduled to sail within 20 hours and for an operational duration of 12 days. Replacing these shock mounts is necessary to uphold mission reliability at 0.94.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Kochi, during her operational cycle, has undertaken condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold. The ship is slated to sail within 45 hours and for an operational duration of 7 days. Replacement of these shock mounts is imperative to maintain mission reliability at 0.86.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Viraat, during her operational cycle, has conducted condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are nearing the warning threshold. The ship is set to sail within 28 hours and for an operational duration of 11 days. Replacing these shock mounts is essential to uphold mission reliability at 0.95.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Vikramaditya, amidst her operational cycle, has undergone condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are nearing the warning threshold. The ship is slated to set sail within 42 hours and for an operational duration of 6 days. Replacement of these shock mounts is crucial to maintain mission reliability at 0.92.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Chennai, during her operational cycle, has conducted thorough condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are on the verge of surpassing the warning threshold. The ship is scheduled to sail within 54 hours and for an operational duration of 5 days. Replacement of these shock mounts is essential to uphold mission reliability at 0.89.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"INS Kolkata, amidst her operational cycle, has undergone meticulous condition-based inspections of shock mounts for various pumps and gas turbines. A multitude of shock mount readings are rapidly approaching the warning threshold. The ship is set to set sail within 36 hours and for an operational duration of 8 days. Replacing these shock mounts is critical to maintain mission reliability at 0.90.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
