Scenario
"INS Mumbai, amidst her operational cycle, has undergone comprehensive condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are approaching the warning threshold at an alarming rate. The ship is scheduled to sail within 30 hours and for an operational duration of 9 days. Replacing these shock mounts is essential to maintain mission reliability at 0.88."
"INS Delhi, during her operational cycle, has conducted extensive condition-based inspections of shock mounts for various pumps and gas turbines. A variety of shock mount readings are on the brink of exceeding the warning threshold. The ship is set to sail within 48 hours and for an operational duration of 4 days. Replacing these shock mounts is crucial to uphold mission reliability at 0.93."
"INS Shivalik, amidst her operational cycle, has undergone thorough condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are rapidly approaching the warning threshold. The ship is slated to set sail within 60 hours and for an operational duration of 3 days. Replacement of these shock mounts is critical to maintain mission reliability at 0.87."
"INS Kochi, during her operational cycle, has conducted meticulous condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are steadily nearing the warning threshold. The ship is scheduled to sail within 39 hours and for an operational duration of 10 days. Replacing these shock mounts is imperative to uphold mission reliability at 0.94."
"INS Vikrant, amidst her operational cycle, has undergone detailed condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are rapidly approaching the warning threshold. The ship is set to set sail within 33 hours and for an operational duration of 11 days. Replacement of these shock mounts is essential to maintain mission reliability at 0.86."
"INS Kochi, during her operational cycle, has conducted thorough condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are dangerously close to exceeding the warning threshold. The ship is scheduled to sail within 45 hours and for an operational duration of 6 days. Replacing these shock mounts is crucial to uphold mission reliability at 0.95."
"INS Viraat, during its operational cycle, has undergone detailed condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are nearing the warning threshold. The ship is scheduled to set sail within 27 hours for an operational duration of 8 days. Replacement of these shock mounts is paramount to maintain mission reliability at 0.91."
"INS Kolkata, amidst its operational cycle, has conducted thorough condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are on the verge of surpassing the warning threshold. The ship is set to sail within 55 hours for an operational duration of 4 days. Replacing these shock mounts is crucial to uphold mission reliability at 0.88."
"INS Delhi, during its operational cycle, has undergone meticulous condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are rapidly approaching the warning threshold. The ship is scheduled to set sail within 38 hours for an operational duration of 7 days. Replacement of these shock mounts is essential to maintain mission reliability at 0.92."
"INS Mumbai, amidst its operational cycle, has conducted detailed condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are dangerously close to exceeding the warning threshold. The ship is set to sail within 29 hours for an operational duration of 9 days. Replacing these shock mounts is critical to uphold mission reliability at 0.89."
"INS Kochi, during its operational cycle, has undergone comprehensive condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are rapidly approaching the warning threshold. The ship is scheduled to set sail within 42 hours for an operational duration of 6 days. Replacement of these shock mounts is imperative to maintain mission reliability at 0.90."
"INS Shivalik, amidst its operational cycle, has conducted meticulous condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are steadily nearing the warning threshold. The ship is set to sail within 33 hours for an operational duration of 5 days. Replacing these shock mounts is crucial to uphold mission reliability at 0.93."
"INS Chennai, during its operational cycle, has undergone thorough condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are dangerously close to exceeding the warning threshold. The ship is scheduled to set sail within 47 hours for an operational duration of 10 days. Replacing these shock mounts is paramount to maintain mission reliability at 0.86."
"INS Vikrant, amidst its operational cycle, has conducted extensive condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are rapidly approaching the warning threshold. The ship is set to sail within 36 hours for an operational duration of 3 days. Replacing these shock mounts is essential to uphold mission reliability at 0.94."
"INS Delhi, during its operational cycle, has undergone detailed condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are nearing the warning threshold. The ship is scheduled to set sail within 24 hours for an operational duration of 11 days. Replacing these shock mounts is crucial to maintain mission reliability at 0.87."
"INS Vikramaditya, amidst its operational cycle, has conducted thorough condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are on the brink of surpassing the warning threshold. The ship is set to sail within 40 hours for an operational duration of 8 days. Replacing these shock mounts is imperative to maintain mission reliability at 0.95."
"INS Virat, in the midst of its operational cycle, has undergone thorough condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are nearing the warning threshold. The ship is scheduled to set sail within 30 hours for an operational duration of 7 days. Replacement of these shock mounts is vital to maintain mission reliability at 0.90."
"INS Kochi, during its operational cycle, has conducted meticulous condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are dangerously close to exceeding the warning threshold. The ship is set to sail within 35 hours for an operational duration of 9 days. Replacing these shock mounts is crucial to uphold mission reliability at 0.93."
"INS Mumbai, amidst its operational cycle, has undergone comprehensive condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are rapidly approaching the warning threshold. The ship is scheduled to set sail within 25 hours for an operational duration of 6 days. Replacement of these shock mounts is essential to maintain mission reliability at 0.89."
"INS Kolkata, during its operational cycle, has conducted detailed condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are on the verge of surpassing the warning threshold. The ship is set to sail within 48 hours for an operational duration of 5 days. Replacing these shock mounts is crucial to uphold mission reliability at 0.91."
"INS Shivalik, amidst its operational cycle, has undergone meticulous condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are steadily nearing the warning threshold. The ship is scheduled to set sail within 32 hours for an operational duration of 8 days. Replacement of these shock mounts is vital to maintain mission reliability at 0.88."
"INS Chennai, during its operational cycle, has conducted thorough condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are dangerously close to exceeding the warning threshold. The ship is set to sail within 39 hours for an operational duration of 4 days. Replacing these shock mounts is imperative to uphold mission reliability at 0.92."
"INS Vikrant, amidst its operational cycle, has undergone detailed condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are rapidly approaching the warning threshold. The ship is scheduled to set sail within 28 hours for an operational duration of 10 days. Replacement of these shock mounts is crucial to maintain mission reliability at 0.94."
"INS Delhi, during its operational cycle, has conducted extensive condition-based inspections of shock mounts for various pumps and gas turbines. Numerous shock mount readings are nearing the warning threshold. The ship is set to sail within 42 hours for an operational duration of 3 days. Replacing these shock mounts is vital to maintain mission reliability at 0.87."
"INS Vikramaditya, amidst its operational cycle, has undergone thorough condition-based inspections of shock mounts for various pumps and gas turbines. Multiple shock mount readings are on the brink of surpassing the warning threshold. The ship is scheduled to set sail within 37 hours for an operational duration of 11 days. Replacing these shock mounts is crucial to uphold mission reliability at 0.95."
"INS Kochi, during its operational cycle, has conducted meticulous condition-based inspections of shock mounts for various pumps and gas turbines. Several shock mount readings are dangerously close to exceeding the warning threshold. The ship is set to sail within 31 hours for an operational duration of 12 days. Replacing these shock mounts is imperative to uphold mission reliability at 0.86."
