Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"Prior to refitting ships and submarines at the annual annual refits conference, a schedule must be prepared by fleet members with two operational dry dock facilities. The plan necessitates scheduling multiple ships or submarine submersibles in one go, as well as prioritizing them for later use. A repair workshop is required to be fully operational and available with over 80% manpower strength. Spare parts needed for equipment overhaul may arrive up front two months before the reffit plan is implemented.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"They should plan ahead for the refitting of ships and submarines already on their command by scheduling a schedule meeting at an upcoming annual refit conference, with two dry docking stations available in the yard. It is not feasible to have more than three ships or submarine(s) during this process, and it is expected that MoM will be released within seven days prior to ship/submarine refits. The repair workshop must be fully operational and available with over 80% manpower strength, so equipment may need to be overhauled two months before the start of its plan.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Fleets are expected to plan for their ships and submarines refit during the annual Refit Conference held by the Navy. This process requires having two operational dry docks in the yard, with a limit of three ship/submarine per day. The MoM should be released within ten days while the repair workshop is in its final stages; these facilities must be fully functional (within 80 percent humanpower) and may require overhauling equipment two months before the start of this project.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"At the annual refit conference, the fleet must plan for resurfacing ships and submarines currently stationed in their command vessels. This process requires the use of two operational dry dock facilities in the yard, with no more than three ship/submarine per day; the MoM should prioritize ships or submarine over one week, and the repair workshop at the time of the ship'll be fully operational and available with over 80% manpower strength until the two months before the start of its refits.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The refit plans for ships and submarines present in command should be scheduled with the help of an official announcement at a future annual conference. This plan will necesite two operational dry docking stations in the yard, as well as no more than three ship/submarine per day. The MoM will focus on prioritized ship or submarine assignments and be released within ten days. Additionally, the repair workshop must be fully operational and available with over 80% manpower strength, and equipment may need to be overhauled two months before its planned.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To achieve this objective, it is necessary for the fleet to establish a schedule that includes plans for refitting ships and submarines present in their command during the annual refits conference. The yard has two operational dry docks, but it can accommodate upto three ships or submarine at any given time.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Following an announcement at the upcoming annual refit conference, it is recommended that fleet vessels and submarines present in command be scheduled to depart from the yard. The plan neceses the availability of two operational dry docks, with no more than three ships or submarine per day; the MoM should prioritize ship/submarine within one week, and their repair workshop must be fully operational by now and have more manpower strength than 90%. Spares required for equipment overhaul may arrive before the start of the refits plan.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"After announcing plans for the refit of vessels and submarines, which must be scheduled at an annual conference, it is recommended that the fleet use two fully functional dry docking stations in the yard, with no more than three ships or submarine per day. The MoM should prioritize ship/submarine within ten days; the repair workshop during this period must have been operational and available with over 80% manpower strength, while spare parts may need to arrive up to two months ahead of the plan's unveiling date as part thereof.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Plans for refit of vessels and submersibles are to be agreed upon by the fleet during their annual meeting. The yard has a maximum of two active dry docks, but it is not allowed to have more than three ships/submarine at any given time due to priority placed on ship/Submariner within ten days.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"An annual conference is necessary to schedule the refitting of ships and submarines at their docks. The fleet must have two operational dry dock facilities, but they can only refuel three ships or submarine simultaneously while the MoM release concentratees are in place within one week.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
